Word,Tag 1,Tag 2,Tag 3,South Africa,Colour
Palace of Versailles,Geography,Landmarks,,,0
Pina Colada,Food and Drink,Drink,,,0
Micronesia,Geography,Country,,,1
Minsk,Geography,Capital,,,1
My sister's keeper,Language and Literature ,Book,,,0
Napoleonic Wars,History,Wars,,,0
"Notes, Chords, Scales",Technical,triplets,,,1
One Flew Over the Cuckoo’s Nest,Language and Literature ,Book,,,0
Oops!... I did it again,Music,Lyrics,,,1
Pangolin,Animals,,,,0
Patrice Motsepe,People and Characters,,,,1
Pokémon Red,Games,,,,0
Mohamed Salah,People and Characters,Sports,,,1
MoParks,Companies,,,1,1
Narcos,TV Show,,,,0
Naruto Uzumaki,People and Characters,Anime,,1,0
Oliver Tambo,People and Characters,Politician,,1,1
Oppikoppi,Events,,,1,0
Ozark,TV Show,,,,1
Paul Kagame,People and Characters,Politician,,,0
Pho,Food and Drink,Meal,,,1
Pokimane,People and Characters,Streamer,,,0
Monaco,Geography,Country,,,1
Muvhango,TV Show,,,1,1
Naspers,Companies,,,,0
Old Fashioned,Food and Drink,Drink,,,0
"Onion, Garlic, Ginger",Technical,triplets,,,1
"Oranje, Blanje, Blou",History,triplet,,,0
Pap,Culture,,,1,1
Pennsylvania,Geography,Places,,,0
Potala Palace,Geography,Landmarks,,,0
Potjiekos,Food and Drink,,,1,1
Montenegro,Geography,Country,,,1
Netflix,Companies,,,,0
New Delhi,Geography,Capital,,,1
Orodruin,Language and Literature ,Places,,,0
Ouma,Culture,,,1,1
Palau,Geography,Country,,,0
Parkour,Sports,,,,1
PEP Stores,Companies,,,1,0
prodigal son,TV Show,,,,0
Project Runway,TV Show,,,,1
Make the circle bigger,Culture,,,,0
Narnia,Language and Literature ,Places,,,1
night in tunisia,Music,Song,,,1
Noot vir Noot,TV Show,,,1,0
Ottawa,Geography,,,,0
Pac-Man,Games,,,,1
Pang Doodmaak,Language and Literature ,Book,,1,0
Party in the USA,Music,Lyrics,,,1
Perks of being a wallflower,Language and Literature ,Book,,,0
Psycho,Movies,,,,0
Pulp Fiction,Movies,,,,1
Nicky Oppenheimer,People and Characters,,,,1
Novak Djokovic,People and Characters,Sports,,,0
One Flew Over Cuckoo's Nest,Movies,,,,1
Parks and Recreation,TV Show,,,,0
Paul Brothers,People and Characters,Youtube,,,1
Peking Duck,Food and Drink,Meal,,,0
Peloponnesian War,History,Wars,,,1
Petros Sampras,People and Characters,Sports,,1,0
Pumped up kicks ,Music,Lyrics,,,1
Purple jelly tot,Food and Drink,,,1,0
Nkosi,Culture,,,1,1
Oslo,Geography,Capital,,,0
Pan's Labyrinth ,Movies,,,,1
Paul Levesque,People and Characters,Sports,,,1
Peppermint Crisp,Food and Drink,,,,1
Petra,Geography,Landmarks,,,0
Pocono Mountains,Geography,Places,,,0
Pyramids of Giza,Geography,Landmarks,,,0
R Kelly,People and Characters,Music,Artist,,1
noem my skollie,Language and Literature ,,,1,1
"Paper, Rock, Scissors",Technical,triplets,,,1
Pearl Harbor,History,Event,,,0
PewDiePie,People and Characters,Youtube,,1,1
Phumakim,Music,Lyrics,,1,0
Platypus,Animals,,,,0
Portishead,People and Characters,Music,Artist,,1
Pythagorean Theorem,Math and Science,,,,0
quantum computing,Technology,,,,0
Rhodes must fall,History,South Africa,,,1
"Notebook, Diary, Journal",Technical,triplets,,,1
Peaky Blinders,TV Show,,,,1
Perlemoen,Food and Drink,,,,0
Pieter Groenewald,People and Characters,Politician,,,1
Pluto,Geography,planet,,,0
Potato Warras,Food and Drink,,,,0
pressure cooker,Things,,,,1
Quidditch,Sports,,,,0
RINGO STAR,People and Characters,Music,artist,,1
Robot,Culture,,,1,0
NSFAS,Companies,,,1,1
pedro's,Companies,South Africa,,1,1
Pillars of Earth,Language and Literature ,Book,,,1
Prague,Geography,Country,,,0
Pride and Prejudice,Language and Literature ,Book,,,1
Pursuit of Happyness,Movies,,,,0
REQUIEM FOR A DREAM ,Movies,,,,0
Rocky Aur Rani Ki Prem Kahani,Movies,Indian,,,1
Rondavel,Culture,,,1,0
Ryan Higa,People and Characters,Youtube,,,0
Oke,Culture,,,1,1
Pickleball,Sports,,,,1
Princess Leia,People and Characters,,,,0
Princess Mononoke,Movies,,,,1
Quentin Tarantino,People and Characters,Director,,,1
Rafael Nadal,People and Characters,Sports,Tennis,,0
Robert Mugabe,People and Characters,Politician,,,0
Roger Federer,People and Characters,Sports,,,1
Saddam Hussein,People and Characters,Politician,,,0
Saleh Bbq Tonight ,Companies,,,,0
Origin of Species,Language and Literature ,Book,,,1
"Proton, Neutron, Electron",Technical,triplets,,,1
Queer Eye For straight guy,TV Show,,,,0
Real Housewives,TV Show,,,,1
"Red Light, Green Light",Games,,,,1
Rick and Morty,TV Show,,,,0
Roosterkoek,Food and Drink,,,1,1
Sam Smith,People and Characters,Music,,,0
San Salvador,Geography,,,,0
Seinfeld,TV Show,,,,0
Padkos,Culture,,,1,1
"quack, quack, quack",Technical,triplet,,,1
Red Dead Redemption 2,Games,,,,1
"Red, White, Blue",Technical,triplets,,,1
Ronda Rousey,People and Characters,Sports,,,0
Roronoa Zoro,People and Characters,Anime,,,1
rubix cube,Things,,,,0
São Tomé and Príncipe,Geography,Country,,,0
Sasuke Uchiha,People and Characters,Anime,,,0
Sergio Mendez,People and Characters,Music,,,0
*Painting*,Actions,,,,1
Ray tracing,Technology,,,,1
"Red, Green, Yellow",Technical,triplets,,,1
Risk,Games,,,,1
Royal Dutch Shell,Companies,,,1,1
Sago Pudding,Food and Drink,,,,0
Santiago,Geography,,,,0
Scorpions,Companies,Animals,,1,0
Shard,Geography,Landmarks,,,0
Simpsons,TV Show,,,,0
"Park, Neutral, Drive ",Technical,triplets,,,1
"Ready, Set, Go",Technical,triplets,,,1
Rivonia Trial,History,,,,1
*Running*,Actions,,,,1
Salaam malaykom,Language and Literature ,Book,,1,1
Sangoma,Culture,,,1,0
Sebastian Vettel,People and Characters,Sports,,,0
Sharpeville Massacre,History,South Africa,,,0
SISTERHOOD OF TRAVELING PANTS,Movies,,,,0
Sistine Chapel,Geography,Landmarks,,1,0
Pictionary,Games,Boardgame,,,1
red rover,Games,,,,1
Run Jozi,Music,Lyrics,,1,1
Saitama,People and Characters,Anime,,,1
Sceletium,Nature,South Africa,,1,0
Scooby-Doo,TV Show,,,,1
Secretarybird,Animals,,,,0
Shenzhen,Geography,City,,1,0
Slash,People and Characters,Music,,,0
Soviet Union,History,,,,0
PINK Steri stumpie,Food and Drink,,,1,1
Sachin Tendulkar,People and Characters,Sports,,,1
San and Khoikhoi,People and Characters,South Africa,,1,1
Sandman,Language and Literature ,Book,,,1
Settlers of Catan,Games,Boardgame,,,0
Shaquille O'Neal,People and Characters,Sports,,,0
Shining,Language and Literature ,Book,,,1
Shrek,Movies,,,,0
Son Goku,People and Characters,Anime,,,0
Space Race,History,Event,,,0
Plate Tectonics,Math and Science,,,,1
Sarafina,Movies,South Africa,,1,1
Sashimi,Food and Drink,Meal,,,1
Schabir Shaik,People and Characters,Politician,,,1
Shinji Ikari,People and Characters,Anime,,,0
shisanyama,Food and Drink,,,,0
Shoebill,Animals,,,,1
skilpoppe,Language and Literature ,Book,,1,0
Spanish Flu,History,Event,,,0
Star-Nosed Mole,Animals,,,,0
PROOF OF STAKE,Technology,,,,1
Sarmie,Culture,,,1,1
See both sides like Chanel,Music,Lyrics,,,1
"Shirt, Pants, Jacket",Technical,triplets,,,1
Simone Biles,People and Characters,Sports,GYmnatists,,0
sista Batina,Music,South Africa,,1,1
Slaughterhouse-Five,Language and Literature ,Book,,,0
Softshell Turtle,Animals,,,,0
St. Basil's Cathedral,Geography,Landmarks,,,0
Starlink,Technology,,,,0
Quagga,Culture,,,1,1
Saudi Aramco,Companies,,,1,1
SEX Pistols,Music,Artist,,,1
"Sky, Cloud, Rain",Technical,triplets,,,1
Smiley,Food and Drink,,,1,1
Socrates,People and Characters,,,,0
South Park,TV Show,,,,0
Stock Market Crash,History,Event,,,0
Stone Cold Steve Austin,People and Characters,Sports,WWE,,0
Stonehenge,Geography,Landmarks,,,0
Raise Red Lantern,Movies,,,,1
say my name,Music,Lyrics,,,1
Silence of Lambs,Movies,,,,1
"Snap, Crackle, Pop",Technical,triplets,,,1
Somalia,Geography,Country,,,0
Soweto Uprising,History,South Africa,,1,0
Star Trek,TV Show,,,,1
Stranger Things,TV Show,,,,0
Amish,People and Characters,,,,0
suez canal,Geography,Landmarks,,1,0
Scrabble,Games,Boardgame,,,1
Shane Dawson,People and Characters,Youtube,,,1
Smosh,People and Characters,Youtube,,,1
Solomon Mahlangu,People and Characters,Politician,,,1
St. Patrick's Day,Events,Holidays,,,0
Statue of Liberty,Geography,Landmarks,,1,0
"Strawberry, Raspberry, Blueberry",Technical,triplets,,,1
Sweet Caroline,Music,Lyrics,,1,0
Synchronized Swimming,Sports,,,,0
Takkies,Culture,,,1,0
Serena Williams,People and Characters,Sports,,,1
Sherlock,TV Show,,,,1
Spotify,Companies,,,,1
stenography,Things,,,,1
STEP BROTHERS ,Movies,,,,0
Stockholm,Geography,Capital,,1,0
Super Mario Bros.,Games,,,,1
talking to moon,Music,Lyrics,,,0
TANGSHAN EARTHQUAKE,History,Natural Disaster,,,0
Tata ma chance! Tata ma millions,Culture,,,1,0
Sheikh Hasina,People and Characters,Politician,,,1
Slumdog Millionaire,Movies,,,,1
"Stamp, Envelope, Letter",Technical,triplets,,,1
stethoscope,Things,,,,0
Steve Biko,People and Characters,Politician,,1,1
stokvel,Culture,,,1,0
Superego,Music,,,,1
Ted Talks,TV Show,,,,0
Terminator 2: Judgment Day,Movies,,,,0
Terracotta Army,Geography,Landmarks,,1,0
Shroud,People and Characters,Streamer,,,1
Sopranos,TV Show,,,,1
"Stop, Drop, Roll",Technical,triplets,,,1
"Sugar, Spice, Everything Nice",Technical,triplets,,,1
Suriname,Geography,Country,,,0
swiss army knife,Things,,,,1
Sydney Opera House,Geography,Landmarks,,,0
Thabo Mbeki,People and Characters,Politician,,,0
Thomas Edison,People and Characters,,,,0
Tokoloshi,Culture,,,1,0
Skeem Saam,TV Show,,,1,1
Spike Spiegel,People and Characters,Anime,,,1
*Surfing*,Actions,,,,1
Survivor Series,TV Show,,,,1
Taekwondo,Sports,,,,0
Taj Mahal,Geography,Landmarks,,1,0
Taliep Petersen,People and Characters,South Africa,,,1
The Great Trek ,History,Event,,,0
Tomorrowland,Events,,,,0
Trench Town,Geography,Places,,,0
Steve Redgrave,People and Characters,Sports,,,1
Street Fighter ,Games,,,,1
Sword Art Online,TV Show,Anime,,,1
tamagotchi,Things,,,,1
Tanjiro Kamado,People and Characters,Anime,,,0
The Last of Us,Games,,,,0
Thermodynamics,Math and Science,,,,0
"Third, Sixth, Ninth",Technical,triplets,,,1
Toyota Hilux Bakkie,Things,South Africa,,1,0
Two oceans marathon,Events,,,1,0
Steven Spielberg,People and Characters,Director,,,1
*Sweeping*,Actions,,,,1
Table Mountain Dassie,Culture,,,1,1
Tetris,Games,,,,1
The Legend of Zelda,Games,,,,0
Tiramisu,Food and Drink,Meal,,,0
Tom Brady,People and Characters,Sports,American Football,,0
Triathlon,Sports,,,,1
Turing Machine,Math and Science,,,,0
Ubuntu,Culture,,,1,0
"Swim, Jog, Cycle",Technical,triplets,,,1
*Taking Photos*,Actions,,,,1
Tatjana Smith,People and Characters,Sports,,,1
The Elder Scrolls V,Games,,,,1
Tonga,Geography,Country,,,0
Treaty of Versailles,History,Event,,,0
Twin Peaks,TV Show,,,,0
Tyla Seethal,People and Characters,Music,Artist,,0
*typing on keyboard*,Actions,,,,1
Up the Creek,Events,,,,0
Tattooist of Auschwitz,Language and Literature ,Book,,,1
Terminator,Movies,,,,1
Theresa May,People and Characters,Politician,,,1
Tim Berners-Lee,People and Characters,,,,1
Toto Wolf,People and Characters,Sports,F1,,0
True Detective,TV Show,,,,0
Tymebank,Companies,,,1,0
uiweslaai,Food and Drink,,,1,1
Umlungu,Culture,,,1,0
US Route 66,Geography,Places,,,0
They not like us,Music,Lyrics,,,1
they were all yellow,Music,Lyrics,,,1
Thunee,Games,,,,1
tito mboweni sha sha,Music,Lyrics,,1,1
Trifle,Food and Drink,,,,0
TV license,Things,,,,0
Uluru,Geography,Landmarks,,,0
Eyedress,People and Characters,Artist,,,1
UNO,Games,,,,1
Wayde van Niekerk,People and Characters,Sports,,1,0
TKZee,Music,Artist,,1,1
To Kill a Mockingbird,Language and Literature ,Book,,,1
Tokoloshe,Culture,,,1,1
Top Chef,TV Show,,,,1
Twelfth Night,Language and Literature ,Plays,,,0
umhlanga rocks,Geography,Places,,,0
Usain Bolt,People and Characters,Sports,,,1
V FOR VENDETTA,Movies,,,,0
"Vampire, Werewolf, Zombie",Technical,triplets,,,0
We are champions,Music,Lyrics,,,0
Tom Yum Soup,Food and Drink,Meal,,,1
Tony Blair,People and Characters,Politician,,,1
trappe van vergelyking,Language and Literature ,Book,,,1
Tsotsi,Movies,South Africa,,1,1
United Nations,History,Event,,,0
university of western cape,Geography,Places,,,0
V&A Waterfront,Geography,Places,,,0
Vanuatu,Geography,Country,,,0
vie maak die jol vol,Culture,,,1,1
"We will, we will rock you",Music,Lyrics,,,0
Trevor Noah,People and Characters,South Africa,,1,1
Twister,Games,,,,1
Ultimate Frisbee,Sports,,,,1
Valley of the End,Language and Literature ,Places,,,0
Victoria Falls,Geography,Landmarks,,,0
Vietnam War,History,Wars,,,0
"Vinegar, Baking Soda",Technical,double,,,1
Wakanda,Language and Literature ,Places,,,0
Dunning–Kruger effect,Language and Literature ,,,,1
Wellington,Geography,Capital,,,0
Trivial Pursuit,Games,Boardgame,,,1
Virat Kohli,People and Characters,Sports,Cricket,,1
Virtual private network,Technology,,,,1
Voice,TV Show,,,,0
*Washing the dishes*,Actions,,,,1
Westworld,TV Show,,,,0
Whiskey Sour,Food and Drink,Drink,,,0
"Win, Lose, Draw",Technical,triplets,,,0
Witcher,Games,,,,1
World Wide Web,Technology,,,,0
Twilight Zone,TV Show,,,,1
Vladimir Lenin,People and Characters,Politician,,,1
voetstoots,Culture,,,1,1
Volkstaat,Geography,Places,,,0
watermelon sugar high,Music,Lyrics,,,1
Winston Churchill,People and Characters,Politician,,,0
Worcestershire sauce,Food and Drink,,,,0
World of Warcraft,Games,,,,1
Yasis,Culture,,,1,0
You mustn't push!,Culture,,,0,0
Veep,TV Show,,,,1
Vulindlela,Music,,,1,1
West Wing,TV Show,,,,1
White Russian,Food and Drink,Drink,,,1
Woody Allen,People and Characters,Director,,,0
World War I,History,Wars,,,0
World War II,History,Wars,,,1
X-Files,TV Show,,,,0
Yebo yes,Culture,,,1,0
YoungstaCPT,People and Characters,Music,,,0
Vuvuzela,Culture,,,1,1
Winnie Mandela,People and Characters,South Africa,,,1
Wire,TV Show,,,,1
wooden spoon,Things,,,,1
"WP, JOU LEKKER DING",Culture,,,1,0
xQc,People and Characters,Streamer,,,1
Y2K,History,,,,0
YELLOW RIVER FLOOD,History,Natural Disaster,,,0
Zef,Culture,,,1,0
Zinc,Math and Science,,,,0
watch me nae nae,Music,Lyrics,,,1
Wolfgang Amadeus Mozart,People and Characters,,,,1
"Woof, Woof, Woof",Technical,triplet,,,1
Xi Jinping,People and Characters,Politician,,,0
Yamaha,Companies,,,1,1
YMCA,Music,Lyrics,,,0
"You are my fire, one desire",Music,Lyrics,,,0
Yusuke Urameshi,People and Characters,Anime,,,1
Zinedine Zidane,People and Characters,Sports,,,0
"Zulu, Xhosa, Sotho",Technical,triplets,,,0
