Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Row
*Mexican wave*,Actions,,,,1,2
Michael Schumacher,People and Characters,Sports,F1,,0,2
MKBHD,People and Characters,Youtube,,,0,1
MrBeast,People and Characters,Youtube,,,1,3
Nauru,Geography,Country,,,0,4
Nelly Furtado,People and Characters,Music,Artist,,1,1
Parasite,Movies,,,,0,5
Larry Bird,People and Characters,Sports,Basketball,,1,4
Luxembourg,Geography,Country,,,1,5
Mandalorian,TV Show,,,,0,3
Mobius Strip,Math and Science,,,,0,1
moby dick,Language and Literature ,Book,,,0,2
Monkey Pox,Games,,,,1,2
Muhammad Ali,People and Characters,Sports,,1,1,3
Nelson Mandela,People and Characters,,,1,1,1
On-on,Games,,,,0,4
Penicillin,Math and Science,,,,0,5
Led Zepplin,People and Characters,Music,Artist,,1,4
Machu Picchu,Geography,Landmarks,,,1,5
Mantis Shrimp,Animals,,,,0,3
Monkey D. Luffy,People and Characters,Anime,,,0,1
Monopoly,Games,Boardgame,,,1,2
Muti,Culture,,,1,1,3
Nagasaki,History,,,,0,2
Netcare,Companies,,,1,1,1
Oranje,Geography,,,,0,4
Phetogo Molawa,People and Characters,South Africa,,,0,5
Lost,TV Show,,,,1,4
Mahatma Gandhi,People and Characters,Politician,,,1,5
Marikana Massacre,History,South Africa,,,0,3
Mount Everest,Geography,Landmarks,,,0,1
Nadine Gordimer,People and Characters,Politician,,,1,2
Natsu Dragneel,People and Characters,Anime,,1,1,3
Newton 2nd Law,Math and Science,,,,0,2
Nickel,Math and Science,,,,1,1
Orphan Black,TV Show,,,,0,4
Philadelphia,Geography,Places,,,0,5
Mad Men,TV Show,,,,1,4
maher zain,Music,Artist,,,1,5
"Meow, Meow, Meow",Technical,triplet,,,0,3
mzoli's,Geography,Places,,,0,1
Neon Genesis Evangelion,TV Show,Anime,,,1,2
Nik Naks,Food and Drink,,,1,1,3
North Atlantic Treaty Organization,History,,,,0,2
Oliver Twist,Language and Literature ,Book,,,1,1
"Oxygen, Carbon Dioxide",Technical,double,,,0,4
Photosynthesis,Math and Science,,,,0,5
Martina Navratilova,People and Characters,Sports,Tennis,,1,5
Mechanical Keyboard,Technology,,,,1,4
"Metaphor, Simile",Technical,double,,,0,3
Nadia Comaneci,People and Characters,Sports,GYmnastists,1,0,1
No Woman by No Cry,Music,Lyrics,,,1,2
Nooit,Culture,,,1,1,3
Northern Lights,Nature,,,,0,2
One Piece,TV Show,Anime,,,1,1
Pain and Glory,Movies,,,,0,4
Pillow fighting,Sports,,,,0,5
Michael Jordan,People and Characters,Sports,,,0,3
Michael Phelps,People and Characters,Sports,,,1,4
Mimosa,Food and Drink,Drink,,,1,5
Namaqualand,Geography,,,,0,1
Nokia 3310,Technology,Things,,,1,2
Office US,TV Show,,,,1,3
Okapi,Animals,,,,0,2
Pad Thai,Food and Drink,Meal,,,1,1
Palace of Versailles,Geography,Landmarks,,,0,4
Pina Colada,Food and Drink,Drink,,,0,5
Micronesia,Geography,Country,,,1,4
Minsk,Geography,Capital,,,1,5
My sister's keeper,Language and Literature ,Book,,,0,3
Napoleonic Wars,History,Wars,,,0,1
"Notes, Chords, Scales",Technical,triplets,,,1,2
One Flew Over the Cuckoo’s Nest,Language and Literature ,Book,,,0,2
Oops!... I did it again,Music,Lyrics,,,1,3
Pangolin,Animals,,,,0,4
Patrice Motsepe,People and Characters,,,,1,1
Pokémon Red,Games,,,,0,5
Mohamed Salah,People and Characters,Sports,,,1,5
MoParks,Companies,,,1,1,4
Narcos,TV Show,,,,0,3
Naruto Uzumaki,People and Characters,Anime,,1,0,1
Oliver Tambo,People and Characters,Politician,,1,1,2
Oppikoppi,Events,,,1,0,2
Ozark,TV Show,,,,1,3
Paul Kagame,People and Characters,Politician,,,0,4
Pho,Food and Drink,Meal,,,1,1
Pokimane,People and Characters,Streamer,,,0,5
Monaco,Geography,Country,,,1,5
Muvhango,TV Show,,,1,1,4
Naspers,Companies,,,,0,1
Old Fashioned,Food and Drink,Drink,,,0,3
"Onion, Garlic, Ginger",Technical,triplets,,,1,2
"Oranje, Blanje, Blou",History,triplet,,,0,2
Pap,Culture,,,1,1,3
Pennsylvania,Geography,Places,,,0,4
Potala Palace,Geography,Landmarks,,,0,5
Potjiekos,Food and Drink,,,1,1,1
Montenegro,Geography,Country,,,1,5
Netflix,Companies,,,,0,1
New Delhi,Geography,Capital,,,1,4
Orodruin,Language and Literature ,Places,,,0,2
Ouma,Culture,,,1,1,2
Palau,Geography,Country,,,0,3
Parkour,Sports,,,,1,3
PEP Stores,Companies,,,1,0,4
prodigal son,TV Show,,,,0,5
Project Runway,TV Show,,,,1,1
Make the circle bigger,Culture,,,,0,3
Narnia,Language and Literature ,Places,,,1,5
night in tunisia,Music,Song,,,1,4
Noot vir Noot,TV Show,,,1,0,1
Ottawa,Geography,,,,0,2
Pac-Man,Games,,,,1,2
Pang Doodmaak,Language and Literature ,Book,,1,0,3
Party in the USA,Music,Lyrics,,,1,3
Perks of being a wallflower,Language and Literature ,Book,,,0,4
Psycho,Movies,,,,0,5
Pulp Fiction,Movies,,,,1,1
Nicky Oppenheimer,People and Characters,,,,1,5
Novak Djokovic,People and Characters,Sports,,,0,1
One Flew Over Cuckoo's Nest,Movies,,,,1,4
Parks and Recreation,TV Show,,,,0,3
Paul Brothers,People and Characters,Youtube,,,1,2
Peking Duck,Food and Drink,Meal,,,0,2
Peloponnesian War,History,Wars,,,1,3
Petros Sampras,People and Characters,Sports,,1,0,4
Pumped up kicks ,Music,Lyrics,,,1,1
Purple jelly tot,Food and Drink,,,1,0,5
Nkosi,Culture,,,1,1,5
Oslo,Geography,Capital,,,0,1
Pan's Labyrinth ,Movies,,,,1,4
Paul Levesque,People and Characters,Sports,,,1,2
Peppermint Crisp,Food and Drink,,,,1,3
Petra,Geography,Landmarks,,,0,2
Pocono Mountains,Geography,Places,,,0,4
Pyramids of Giza,Geography,Landmarks,,,0,5
R Kelly,People and Characters,Music,Artist,,1,1
noem my skollie,Language and Literature ,,,1,1,5
"Paper, Rock, Scissors",Technical,triplets,,,1,4
Pearl Harbor,History,Event,,,0,1
PewDiePie,People and Characters,Youtube,,1,1,3
Phumakim,Music,Lyrics,,1,0,2
Platypus,Animals,,,,0,3
Portishead,People and Characters,Music,Artist,,1,2
Pythagorean Theorem,Math and Science,,,,0,4
quantum computing,Technology,,,,0,5
Rhodes must fall,History,South Africa,,,1,1
"Notebook, Diary, Journal",Technical,triplets,,,1,5
Peaky Blinders,TV Show,,,,1,4
Perlemoen,Food and Drink,,,,0,1
Pieter Groenewald,People and Characters,Politician,,,1,3
Pluto,Geography,planet,,,0,2
Potato Warras,Food and Drink,,,,0,3
pressure cooker,Things,,,,1,2
Quidditch,Sports,,,,0,4
RINGO STAR,People and Characters,Music,artist,,1,1
Robot,Culture,,,1,0,5
NSFAS,Companies,,,1,1,5
pedro's,Companies,South Africa,,1,1,4
Pillars of Earth,Language and Literature ,Book,,,1,3
Prague,Geography,Country,,,0,2
Pride and Prejudice,Language and Literature ,Book,,,1,2
Pursuit of Happyness,Movies,,,,0,1
REQUIEM FOR A DREAM ,Movies,,,,0,4
Rocky Aur Rani Ki Prem Kahani,Movies,Indian,,,1,1
Rondavel,Culture,,,1,0,3
Ryan Higa,People and Characters,Youtube,,,0,5
Oke,Culture,,,1,1,5
Pickleball,Sports,,,,1,4
Princess Leia,People and Characters,,,,0,2
Princess Mononoke,Movies,,,,1,3
Quentin Tarantino,People and Characters,Director,,,1,2
Rafael Nadal,People and Characters,Sports,Tennis,,0,1
Robert Mugabe,People and Characters,Politician,,,0,4
Roger Federer,People and Characters,Sports,,,1,1
Saddam Hussein,People and Characters,Politician,,,0,5
Saleh Bbq Tonight ,Companies,,,,0,3
Origin of Species,Language and Literature ,Book,,,1,5
"Proton, Neutron, Electron",Technical,triplets,,,1,3
Queer Eye For straight guy,TV Show,,,,0,2
Real Housewives,TV Show,,,,1,2
"Red Light, Green Light",Games,,,,1,4
Rick and Morty,TV Show,,,,0,1
Roosterkoek,Food and Drink,,,1,1,1
Sam Smith,People and Characters,Music,,,0,3
San Salvador,Geography,,,,0,4
Seinfeld,TV Show,,,,0,5
Padkos,Culture,,,1,1,5
"quack, quack, quack",Technical,triplet,,,1,3
Red Dead Redemption 2,Games,,,,1,2
"Red, White, Blue",Technical,triplets,,,1,4
Ronda Rousey,People and Characters,Sports,,,0,1
Roronoa Zoro,People and Characters,Anime,,,1,1
rubix cube,Things,,,,0,2
São Tomé and Príncipe,Geography,Country,,,0,4
Sasuke Uchiha,People and Characters,Anime,,,0,3
Sergio Mendez,People and Characters,Music,,,0,5
*Painting*,Actions,,,,1,5
Ray tracing,Technology,,,,1,3
"Red, Green, Yellow",Technical,triplets,,,1,2
Risk,Games,,,,1,4
Royal Dutch Shell,Companies,,,1,1,1
Sago Pudding,Food and Drink,,,,0,1
Santiago,Geography,,,,0,2
Scorpions,Companies,Animals,,1,0,4
Shard,Geography,Landmarks,,,0,3
Simpsons,TV Show,,,,0,5
"Park, Neutral, Drive ",Technical,triplets,,,1,5
"Ready, Set, Go",Technical,triplets,,,1,3
Rivonia Trial,History,,,,1,2
*Running*,Actions,,,,1,1
Salaam malaykom,Language and Literature ,Book,,1,1,4
Sangoma,Culture,,,1,0,1
Sebastian Vettel,People and Characters,Sports,,,0,4
Sharpeville Massacre,History,South Africa,,,0,3
SISTERHOOD OF TRAVELING PANTS,Movies,,,,0,2
Sistine Chapel,Geography,Landmarks,,1,0,5
Pictionary,Games,Boardgame,,,1,5
red rover,Games,,,,1,3
Run Jozi,Music,Lyrics,,1,1,2
Saitama,People and Characters,Anime,,,1,1
Sceletium,Nature,South Africa,,1,0,1
Scooby-Doo,TV Show,,,,1,4
Secretarybird,Animals,,,,0,4
Shenzhen,Geography,City,,1,0,3
Slash,People and Characters,Music,,,0,5
Soviet Union,History,,,,0,2
PINK Steri stumpie,Food and Drink,,,1,1,5
Sachin Tendulkar,People and Characters,Sports,,,1,3
San and Khoikhoi,People and Characters,South Africa,,1,1,1
Sandman,Language and Literature ,Book,,,1,2
Settlers of Catan,Games,Boardgame,,,0,1
Shaquille O'Neal,People and Characters,Sports,,,0,4
Shining,Language and Literature ,Book,,,1,4
Shrek,Movies,,,,0,3
Son Goku,People and Characters,Anime,,,0,5
Space Race,History,Event,,,0,2
Plate Tectonics,Math and Science,,,,1,5
Sarafina,Movies,South Africa,,1,1,3
Sashimi,Food and Drink,Meal,,,1,2
Schabir Shaik,People and Characters,Politician,,,1,1
Shinji Ikari,People and Characters,Anime,,,0,1
shisanyama,Food and Drink,,,,0,4
Shoebill,Animals,,,,1,4
skilpoppe,Language and Literature ,Book,,1,0,3
Spanish Flu,History,Event,,,0,2
Star-Nosed Mole,Animals,,,,0,5
PROOF OF STAKE,Technology,,,,1,5
Sarmie,Culture,,,1,1,3
See both sides like Chanel,Music,Lyrics,,,1,1
"Shirt, Pants, Jacket",Technical,triplets,,,1,2
Simone Biles,People and Characters,Sports,GYmnatists,,0,1
sista Batina,Music,South Africa,,1,1,4
Slaughterhouse-Five,Language and Literature ,Book,,,0,3
Softshell Turtle,Animals,,,,0,4
St. Basil's Cathedral,Geography,Landmarks,,,0,2
Starlink,Technology,,,,0,5
Quagga,Culture,,,1,1,5
Saudi Aramco,Companies,,,1,1,3
SEX Pistols,Music,Artist,,,1,1
"Sky, Cloud, Rain",Technical,triplets,,,1,2
Smiley,Food and Drink,,,1,1,4
Socrates,People and Characters,,,,0,1
South Park,TV Show,,,,0,3
Stock Market Crash,History,Event,,,0,4
Stone Cold Steve Austin,People and Characters,Sports,WWE,,0,2
Stonehenge,Geography,Landmarks,,,0,5
Raise Red Lantern,Movies,,,,1,5
say my name,Music,Lyrics,,,1,3
Silence of Lambs,Movies,,,,1,1
"Snap, Crackle, Pop",Technical,triplets,,,1,4
Somalia,Geography,Country,,,0,1
Soweto Uprising,History,South Africa,,1,0,3
Star Trek,TV Show,,,,1,2
Stranger Things,TV Show,,,,0,4
Suez Canal,History,Event,,,0,5
suez canal,Geography,Landmarks,,1,0,2
Scrabble,Games,Boardgame,,,1,3
Shane Dawson,People and Characters,Youtube,,,1,5
Smosh,People and Characters,Youtube,,,1,1
Solomon Mahlangu,People and Characters,Politician,,,1,4
St. Patrick's Day,Events,Holidays,,,0,3
Statue of Liberty,Geography,Landmarks,,1,0,1
"Strawberry, Raspberry, Blueberry",Technical,triplets,,,1,2
Sweet Caroline,Music,Lyrics,,1,0,5
Synchronized Swimming,Sports,,,,0,2
Takkies,Culture,,,1,0,4
Serena Williams,People and Characters,Sports,,,1,3
Sherlock,TV Show,,,,1,5
Spotify,Companies,,,,1,4
stenography,Things,,,,1,1
STEP BROTHERS ,Movies,,,,0,1
Stockholm,Geography,Capital,,1,0,3
Super Mario Bros.,Games,,,,1,2
talking to moon,Music,Lyrics,,,0,4
TANGSHAN EARTHQUAKE,History,Natural Disaster,,,0,5
Tata ma chance! Tata ma millions,Culture,,,1,0,2
Sheikh Hasina,People and Characters,Politician,,,1,3
Slumdog Millionaire,Movies,,,,1,5
"Stamp, Envelope, Letter",Technical,triplets,,,1,4
stethoscope,Things,,,,0,1
Steve Biko,People and Characters,Politician,,1,1,1
stokvel,Culture,,,1,0,3
Superego,Music,,,,1,2
Ted Talks,TV Show,,,,0,2
Terminator 2: Judgment Day,Movies,,,,0,4
Terracotta Army,Geography,Landmarks,,1,0,5
Shroud,People and Characters,Streamer,,,1,3
Sopranos,TV Show,,,,1,5
"Stop, Drop, Roll",Technical,triplets,,,1,4
"Sugar, Spice, Everything Nice",Technical,triplets,,,1,1
Suriname,Geography,Country,,,0,1
swiss army knife,Things,,,,1,2
Sydney Opera House,Geography,Landmarks,,,0,3
Thabo Mbeki,People and Characters,Politician,,,0,5
Thomas Edison,People and Characters,,,,0,4
Tokoloshi,Culture,,,1,0,2
Skeem Saam,TV Show,,,1,1,3
Spike Spiegel,People and Characters,Anime,,,1,5
*Surfing*,Actions,,,,1,1
Survivor Series,TV Show,,,,1,4
Taekwondo,Sports,,,,0,3
Taj Mahal,Geography,Landmarks,,1,0,1
Taliep Petersen,People and Characters,South Africa,,,1,2
The Great Trek ,History,Event,,,0,5
Tomorrowland,Events,,,,0,4
Trench Town,Geography,Places,,,0,2
Steve Redgrave,People and Characters,Sports,,,1,3
Street Fighter ,Games,,,,1,5
Sword Art Online,TV Show,Anime,,,1,4
tamagotchi,Things,,,,1,2
Tanjiro Kamado,People and Characters,Anime,,,0,1
The Last of Us,Games,,,,0,3
Thermodynamics,Math and Science,,,,0,5
"Third, Sixth, Ninth",Technical,triplets,,,1,1
Toyota Hilux Bakkie,Things,South Africa,,1,0,4
Two oceans marathon,Events,,,1,0,2
Steven Spielberg,People and Characters,Director,,,1,3
*Sweeping*,Actions,,,,1,5
Table Mountain Dassie,Culture,,,1,1,4
Tetris,Games,,,,1,2
The Legend of Zelda,Games,,,,0,3
Tiramisu,Food and Drink,Meal,,,0,1
Tom Brady,People and Characters,Sports,American Football,,0,5
Triathlon,Sports,,,,1,1
Turing Machine,Math and Science,,,,0,4
Ubuntu,Culture,,,1,0,2
"Swim, Jog, Cycle",Technical,triplets,,,1,3
*Taking Photos*,Actions,,,,1,5
Tatjana Smith,People and Characters,Sports,,,1,4
The Elder Scrolls V,Games,,,,1,2
Tonga,Geography,Country,,,0,1
Treaty of Versailles,History,Event,,,0,3
Twin Peaks,TV Show,,,,0,5
Tyla Seethal,People and Characters,Music,Artist,,0,4
*typing on keyboard*,Actions,,,,1,1
Up the Creek,Events,,,,0,2
Tattooist of Auschwitz,Language and Literature ,Book,,,1,3
Terminator,Movies,,,,1,4
Theresa May,People and Characters,Politician,,,1,5
Tim Berners-Lee,People and Characters,,,,1,2
Toto Wolf,People and Characters,Sports,F1,,0,1
True Detective,TV Show,,,,0,3
Tymebank,Companies,,,1,0,4
uiweslaai,Food and Drink,,,1,1,1
Umlungu,Culture,,,1,0,5
US Route 66,Geography,Places,,,0,2
They not like us,Music,Lyrics,,,1,4
they were all yellow,Music,Lyrics,,,1,5
Thunee,Games,,,,1,3
tito mboweni sha sha,Music,Lyrics,,1,1,2
Trifle,Food and Drink,,,,0,1
TV license,Things,,,,0,3
Uluru,Geography,Landmarks,,,0,4
Eyedress,People & Characters,Artist,,,1,5
UNO,Games,,,,1,1
Wayde van Niekerk,People and Characters,Sports,,1,0,2
TKZee,Music,Artist,,1,1,3
To Kill a Mockingbird,Language and Literature ,Book,,,1,4
Tokoloshe,Culture,,,1,1,2
Top Chef,TV Show,,,,1,5
Twelfth Night,Language and Literature ,Plays,,,0,1
umhlanga rocks,Geography,Places,,,0,3
Usain Bolt,People and Characters,Sports,,,1,1
V FOR VENDETTA,Movies,,,,0,4
"Vampire, Werewolf, Zombie",Technical,triplets,,,0,5
We are champions,Music,Lyrics,,,0,2
Tom Yum Soup,Food and Drink,Meal,,,1,2
Tony Blair,People and Characters,Politician,,,1,3
trappe van vergelyking,Language and Literature ,Book,,,1,5
Tsotsi,Movies,South Africa,,1,1,4
United Nations,History,Event,,,0,1
university of western cape,Geography,Places,,,0,3
V&A Waterfront,Geography,Places,,,0,4
Vanuatu,Geography,Country,,,0,5
vie maak die jol vol,Culture,,,1,1,1
"We will, we will rock you",Music,Lyrics,,,0,2
Trevor Noah,People and Characters,South Africa,,1,1,3
Twister,Games,,,,1,4
Ultimate Frisbee,Sports,,,,1,5
Valley of the End,Language and Literature ,Places,,,0,4
Victoria Falls,Geography,Landmarks,,,0,3
Vietnam War,History,Wars,,,0,1
"Vinegar, Baking Soda",Technical,double,,,1,1
Wakanda,Language and Literature ,Places,,,0,5
Dunning–Kruger effect,Language and Literature ,,,,1,2
Wellington,Geography,Capital,,,0,2
Trivial Pursuit,Games,Boardgame,,,1,3
Virat Kohli,People and Characters,Sports,Cricket,,1,5
Virtual private network,Technology,,,,1,4
Voice,TV Show,,,,0,4
*Washing the dishes*,Actions,,,,1,1
Westworld,TV Show,,,,0,2
Whiskey Sour,Food and Drink,Drink,,,0,5
"Win, Lose, Draw",Technical,triplets,,,0,3
Witcher,Games,,,,1,2
World Wide Web,Technology,,,,0,1
Twilight Zone,TV Show,,,,1,3
Vladimir Lenin,People and Characters,Politician,,,1,5
voetstoots,Culture,,,1,1,4
Volkstaat,Geography,Places,,,0,4
watermelon sugar high,Music,Lyrics,,,1,1
Winston Churchill,People and Characters,Politician,,,0,5
Worcestershire sauce,Food and Drink,,,,0,3
World of Warcraft,Games,,,,1,2
Yasis,Culture,,,1,0,1
You mustn't push!,Culture,,,0,0,2
Veep,TV Show,,,,1,3
Vulindlela,Music,,,1,1,5
West Wing,TV Show,,,,1,1
White Russian,Food and Drink,Drink,,,1,4
Woody Allen,People and Characters,Director,,,0,5
World War I,History,Wars,,,0,4
World War II,History,Wars,,,1,2
X-Files,TV Show,,,,0,3
Yebo yes,Culture,,,1,0,1
YoungstaCPT,People and Characters,Music,,,0,2
Vuvuzela,Culture,,,1,1,3
Winnie Mandela,People and Characters,South Africa,,,1,5
Wire,TV Show,,,,1,1
wooden spoon,Things,,,,1,4
"WP, JOU LEKKER DING",Culture,,,1,0,4
xQc,People and Characters,Streamer,,,1,2
Y2K,History,,,,0,5
YELLOW RIVER FLOOD,History,Natural Disaster,,,0,1
Zef,Culture,,,1,0,3
Zinc,Math and Science,,,,0,2
watch me nae nae,Music,Lyrics,,,1,3
Wolfgang Amadeus Mozart,People and Characters,,,,1,1
"Woof, Woof, Woof",Technical,triplet,,,1,5
Xi Jinping,People and Characters,Politician,,,0,4
Yamaha,Companies,,,1,1,4
YMCA,Music,Lyrics,,,0,1
"You are my fire, one desire",Music,Lyrics,,,0,5
Yusuke Urameshi,People and Characters,Anime,,,1,2
Zinedine Zidane,People and Characters,Sports,,,0,2
"Zulu, Xhosa, Sotho",Technical,triplets,,,0,3
